# Outlier report
# name  lon  lat  residual  reason
A141           118.30900   39.04800       1.771  KNN
A151           116.14400   40.25900       1.028  KNN
G097           100.54500   36.22300      10.440  IQR(res=10.44)
G098           102.25600   36.11900       4.028  KNN
G106           102.54300   35.83600       7.225  IQR(res=7.23)
G110           106.67800   34.94600       3.886  KNN
A322           117.41500   40.65200       1.964  KNN
DB03           107.79100   36.06400       0.764  KNN
A324           118.06000   40.53400       1.320  KNN
I078            75.25000   39.71800       0.000  KNN
E016           128.10500   42.42500       0.245  KNN
G130            96.74600   40.03600       8.472  IQR(res=8.47)
E028           123.42700   42.54500       1.860  KNN
G138            97.70300   39.56900       7.292  IQR(res=7.29)
I313            84.31000   46.90000       0.000  KNN
A348           114.88000   39.90800       1.063  KNN
G144            97.99700   39.18600       6.103  KNN
E034           122.07000   41.07400       2.171  KNN
E035           122.92700   41.11100       0.895  KNN
I314            83.61200   46.56000       0.000  KNN
I318            87.93400   46.50900       0.000  KNN
E041           124.45200   40.20100       3.606  KNN
G156            96.69900   37.36300       8.350  IQR(res=8.35)
E045           122.15200   40.16900       1.199  KNN
A363           117.15700   39.54900       5.968  KNN
E048           122.03900   39.62100       4.656  KNN
G161            94.81300   40.17200       8.836  IQR(res=8.84)
I332            85.23000   45.06400       0.000  KNN
A367           117.65100   39.48700       1.471  KNN
G163            93.48900   39.64500       8.193  IQR(res=8.19)
A369           115.73100   39.40000       1.265  KNN
I335            90.09600   45.07400       0.000  KNN
G165            93.00300   39.28700       8.954  IQR(res=8.95)
I348            85.59700   43.95000       0.000  KNN
A392           115.73400   38.43300       2.620  KNN
G323            93.42500   38.53300       3.772  KNN
B003           120.47400   37.64600       1.458  KNN
I369            83.47300   43.52100       0.000  KNN
B010           120.36600   32.51200       1.279  KNN
B014           121.80100   31.73300       0.541  KNN
B017           120.20500   30.83800       1.077  KNN
I383            82.44000   41.85800       0.000  KNN
B022           118.73100   36.90000       1.697  KNN
B023           119.99200   37.18100       2.000  KNN
G346            93.62000   36.74600       8.726  IQR(res=8.73)
G347            91.88600   37.03800      11.792  IQR(res=11.79)
G352           105.37000   35.99600       7.232  IQR(res=7.23)
B035           118.85100   35.58200       0.082  KNN
G360           101.70700   35.05200       7.226  IQR(res=7.23)
B039           118.90900   35.13400       0.196  KNN
B041           118.63700   34.48600       1.124  KNN
E364           126.54800   44.77400       1.319  KNN
B053           119.01200   33.50700       1.328  KNN
E372           119.37300   43.98900       1.182  KNN
E386           112.72300   42.74300       0.241  KNN
H027           101.48200   33.42900       8.803  IQR(res=8.80)
H034           103.73200   32.36100       7.493  IQR(res=7.49)
B311           117.07300   36.65900       1.039  KNN
E402           117.45300   41.58100       1.087  KNN
EB03           122.27500   43.59300       1.076  KNN
H047           102.09600   31.46600       7.748  IQR(res=7.75)
H049           103.69200   31.06000      10.497  KNN+IQR(res=10.50)
H053           101.16300   30.95500       7.784  IQR(res=7.78)
F014           117.56400   26.29100       0.988  KNN
H059           103.86500   30.69300       9.634  IQR(res=9.63)
B334           121.84200   37.15000       1.240  KNN
F017           119.76900   25.48800       0.436  KNN
H060           103.41000   30.41500       7.984  IQR(res=7.98)
B337           119.06300   36.89500       0.846  KNN
B339           121.70100   36.85900       0.655  KNN
J310            79.80900   33.21400       0.000  KNN
B345           119.34400   36.26300       2.084  KNN
H069            99.16800   30.09400      14.128  IQR(res=14.13)
H078           102.08000   29.68800       4.679  KNN
B355           118.40000   34.33500       1.295  KNN
B370           121.35600   31.70900       0.927  KNN
F063           109.26000   22.41100       1.662  KNN
H108           102.90700   26.93100       0.000  KNN
H113           101.85500   26.69000       3.260  KNN
BB01           121.80000   31.73200       2.186  KNN
H125           103.78800   25.57300       7.720  IQR(res=7.72)
F313           120.09000   28.31800       0.510  KNN
C011           115.67200   37.69900       1.268  KNN
H132           103.67000   25.06400       7.222  IQR(res=7.22)
C016           114.35600   38.02800       2.243  KNN
C017           113.61300   37.83400       0.461  KNN
H138           100.54800   25.48200       8.574  IQR(res=8.57)
H141           100.52200   25.03700       8.260  IQR(res=8.26)
C023           114.76300   37.36100       1.370  KNN
F329           118.81600   25.89600       0.608  KNN
J377            94.05700   35.61500       0.000  KNN
F340           118.15900   24.77500       0.655  KNN
H160           100.89500   23.86800       8.041  IQR(res=8.04)
H163           100.11100   23.59800      11.173  IQR(res=11.17)
C046           114.17400   35.17000       1.492  KNN
J397            97.28800   33.06000       0.000  KNN
F350           117.39200   23.60200       1.566  KNN
C063           112.35100   32.53800       1.978  KNN
H188            99.25400   28.84400       7.818  IQR(res=7.82)
H189            99.74500   29.00000       8.150  IQR(res=8.15)
J417           104.14500   31.83600       0.000  KNN
H191            98.91400   28.44200      10.003  IQR(res=10.00)
H192            99.70800   27.82900      12.529  IQR(res=12.53)
H198            99.93200   26.45000       9.100  IQR(res=9.10)
F376           106.64500   23.52600       1.415  KNN
H202            99.37100   25.89300       8.577  IQR(res=8.58)
C315           114.07100   36.22800       2.739  KNN
H204            99.92400   25.71600       7.962  IQR(res=7.96)
H206            99.11000   25.65200      11.118  IQR(res=11.12)
H207            99.14800   25.07000      10.127  IQR(res=10.13)
H210            99.64300   24.83800      11.158  IQR(res=11.16)
H211            98.67500   24.57700       9.960  IQR(res=9.96)
H212            98.30300   24.80800       9.519  IQR(res=9.52)
H214            99.61800   24.24100       7.718  IQR(res=7.72)
JB14           122.17200   46.06200       0.000  KNN
H215            99.24900   24.00200       7.812  IQR(res=7.81)
H216            98.84000   23.80100      10.042  IQR(res=10.04)
H217            98.28700   24.25600       9.962  IQR(res=9.96)
H218            97.85600   24.01300      14.042  IQR(res=14.04)
C331           115.71600   38.05000       4.607  KNN
C332           115.83500   36.66200       1.849  KNN
F397           108.94000   27.21500       1.116  KNN
JB22           115.04700   27.05900       0.000  KNN
C335           116.14800   33.94200       3.962  KNN
C336           116.28100   34.64000       1.685  KNN
H220            99.40400   23.53600       9.527  IQR(res=9.53)
H222            99.83400   23.04500       7.980  IQR(res=7.98)
H223            99.26000   23.13500       7.559  IQR(res=7.56)
H225            99.45300   22.73800       7.698  IQR(res=7.70)
CB01           116.12100   38.45700       2.506  KNN
H227            99.59200   22.31200       7.509  IQR(res=7.51)
CB04           114.46500   37.10400       0.374  KNN
CB07           114.34000   36.14400       3.507  KNN
H313            98.85100   25.19500      10.770  IQR(res=10.77)
H314            98.87300   27.29700       7.540  IQR(res=7.54)
F432           112.58900   24.76400       1.477  KNN
D046           107.88600   41.08800       1.260  KNN
D093           106.55700   38.54600       2.354  KNN
G041            99.07500   40.27500       6.367  IQR(res=6.37)
HB19            98.68800   24.58200       0.000  KNN
G043           104.80800   40.16400       7.606  IQR(res=7.61)
A119           117.95000   40.26900       1.203  KNN
D338           111.03900   35.89800       5.726  IQR(res=5.73)
I060            82.78500   41.21600       0.000  KNN
A319           116.40600   40.93800       1.400  KNN
DB05           106.17900   38.40500       1.773  KNN
A325           118.32900   40.96100       1.181  KNN
G119           104.48000   34.85000       5.957  IQR(res=5.96)
