# tri_id  lon  lat  e_ee  e_en  e_nn  e1  e2  azimuth  dilatation  max_shear  second_invariant  e_ee_std  e_en_std  e_nn_std  e1_std  e2_std  dilatation_std  max_shear_std
  129    86.04733   28.99567         4.118        -0.705       -41.555         4.129       -41.566     90.88       -37.437        22.848        41.771       3.565       9.693      26.086       3.504      26.440      26.436      13.452
  130   104.71100   21.04100         4.985         7.807         0.964        11.037        -5.087     52.22         5.950         8.062        12.153       1.284       1.152       1.687       2.152       0.575       2.160       1.147
  133   109.64033   21.65500         3.403         1.091        -1.969         3.616        -2.183     78.95         1.433         2.899         4.223       1.975       2.918       4.243       2.010       4.037       4.638       2.189
  134   109.48000   21.35700         3.402         2.650        -3.660         4.286        -4.543     71.56        -0.257         4.415         6.246       1.997       2.384       3.876       1.775       4.095       4.553       2.186
  135   121.94100   37.39833        -7.027         6.368         4.526         7.347        -9.848     23.90        -2.501         8.598        12.287       4.087       4.224       5.336       5.741       4.938       6.889       4.100
  136   121.62300   37.13367        -4.387         1.919         3.343         3.793        -4.837     13.20        -1.044         4.315         6.147       3.699       2.608       2.436       2.895       2.728       4.237       1.850
  137   120.93700   36.62700         0.691        -7.158         0.932         7.971        -6.347    135.48         1.624         7.159        10.189       6.496       4.440       5.387       7.006       4.644       8.270       4.270
  139   121.34433   28.58767        -4.482         3.392         2.308         3.712        -5.886     22.48        -2.174         4.799         6.959       6.541       3.336       4.293       4.546       5.626       8.071       3.142
  140   121.65667   29.38467         2.098         3.163         4.901         6.959         0.040     33.05         6.999         3.460         6.959       7.444       5.140       7.594       5.717       7.641      10.926       3.961
  141   121.65033   29.06133        -1.746        -0.168         7.480         7.483        -1.749    178.95         5.735         4.616         7.685       7.048       4.442       5.151       5.401       5.558       9.046       3.093
  142   121.40300   28.97933        -6.442         2.415         6.621         7.053        -6.874     10.15         0.179         6.964         9.849       6.636       4.143       6.840       6.889       6.194       9.144       4.692
  143   112.96400   24.45433         2.884         5.104         1.156         7.197        -3.156     49.81         4.041         5.177         7.859       2.734       5.700       7.058       4.062       6.891       7.660       4.162
  144   107.15033   27.26267        -1.344         0.201        -0.238        -0.203        -1.380      9.99        -1.583         0.588         1.394       3.016       1.057       0.630       1.331       2.225       3.153       0.937
